run_id,variant,case_set,instance_id,solved,steps_used,tree_nodes,effective_steps,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
A_strict_c3_9b_mcts,A_strict,c3,quota_snapshot_medium_c3_001,1,3,4,4,18,0.1667,9919,89271.0,0.00101545,70.04,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,release_notes_medium_c3_001,1,4,5,5,18,0.2222,12626,113634.0,0.0012879,72.89,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,roster_signature_001,0,27,29,29,18,1.5000,98984,378990.0,0.0043458,288.44,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,segment_badge_001,0,36,38,38,18,2.0000,140701,614718.0,0.006910050000000001,281.72,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,ticket_digest_medium_c3_001,1,4,5,5,18,0.2222,12629,113661.0,0.001286,72.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,transfer_digest_001,0,33,40,40,18,1.8333,258514,1286154.0,0.01445365,501.54,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,uptime_rollup_medium_c3_001,1,3,4,4,18,0.1667,14662,131958.0,0.0014918000000000002,75.11,auto_finalized
B_c1_rafe_linear,B,c1,board_rollup_001,1,6,0,6,0,,2003,240360.0,0.0006748500000000001,90.96,
B_c1_rafe_linear,B,c1,budget_snapshot_001,1,6,0,6,0,,2116,253920.0,0.00072285,114.11,
B_c1_rafe_linear,B,c1,contact_card_001,0,60,0,60,0,,2025,243000.0,0.00071595,1273.47,
B_c1_rafe_linear,B,c1,digest_preview_001,1,10,0,10,0,,2158,258960.0,0.00072465,192.99,
B_c1_rafe_linear,B,c1,incident_brief_001,1,10,0,10,0,,2006,240720.0,0.0006541499999999999,172.99,
B_c1_rafe_linear,B,c1,invoice_footer_001,1,18,0,18,0,,1813,217560.0,0.0005986499999999999,334.11,
B_c1_rafe_linear,B,c1,label_formatter_001,1,7,0,7,0,,2130,255600.0,0.0007865999999999999,154.66,
B_c1_rafe_linear,B,c1,median_window_001,1,6,0,6,0,,1836,220320.0,0.0006259499999999999,93.97,
B_c1_rafe_linear,B,c1,milestone_rollup_001,1,8,0,8,0,,1795,215400.0,0.0005882999999999999,128.15,
B_c1_rafe_linear,B,c1,nested_app_001,1,8,0,8,0,,2023,242760.0,0.00068325,121.01,
B_c1_rafe_linear,B,c1,owner_recap_001,1,12,0,12,0,,2046,245520.0,0.0006542999999999999,164.65,
B_c1_rafe_linear,B,c1,owner_sort_001,1,6,0,6,0,,1724,206880.0,0.00055335,94.95,
B_c1_rafe_linear,B,c1,priority_snapshot_001,1,10,0,10,0,,1884,226080.0,0.00063225,149.37,
B_c1_rafe_linear,B,c1,renewal_preview_001,1,16,0,16,0,,2076,249120.0,0.0007326,229.62,
B_c1_rafe_linear,B,c1,risk_score_001,1,7,0,7,0,,1712,205440.0,0.0005475,101.78,
B_c1_rafe_linear,B,c1,shipment_preview_001,0,60,0,60,0,,2011,241320.0,0.0006643499999999999,628.69,
B_c1_rafe_linear,B,c1,simple_mean_bug_001,1,7,0,7,0,,1623,194760.0,0.00047430000000000004,95.93,
B_c1_rafe_linear,B,c1,status_slug_001,1,7,0,7,0,,1738,208560.0,0.000564,95.29,
B_c1_rafe_linear,B,c1,team_digest_001,1,10,0,10,0,,1766,211920.0,0.0005726999999999999,120.91,
B_c1_rafe_linear,B,c1,workspace_digest_001,1,10,0,10,0,,2242,269040.0,0.00076425,133.32,
