run_id,variant,case_set,instance_id,solved,steps_used,effective_steps,tree_nodes,steps_allowed,solve_fraction,total_tokens,cost_bpt,stopped_reason
A_strict_c3_9b_mcts,A_strict,c3,c3_title_case_001,1,4,5,5,18,0.2222,18903,170127.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,escalation_caption_001,0,36,38,38,18,2.0000,138305,529200.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,invoice_alerts_medium_c3_001,1,3,4,4,18,0.1667,9900,89100.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,ledger_preview_001,1,30,40,40,18,1.6667,247408,1015902.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,oncall_brief_medium_c3_001,1,3,4,4,18,0.1667,9834,88506.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,quota_snapshot_medium_c3_001,1,3,4,4,18,0.1667,9919,89271.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,release_notes_medium_c3_001,1,4,5,5,18,0.2222,12626,113634.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,roster_signature_001,0,27,29,29,18,1.5000,98984,378990.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,segment_badge_001,0,36,38,38,18,2.0000,140701,614718.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,ticket_digest_medium_c3_001,1,4,5,5,18,0.2222,12629,113661.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,transfer_digest_001,0,33,40,40,18,1.8333,258514,1286154.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,uptime_rollup_medium_c3_001,1,3,4,4,18,0.1667,14662,131958.0,auto_finalized
B_c1_rafe_linear,B,c1,board_rollup_001,1,6,6,0,6,1.0000,2003,240360.0,
B_c1_rafe_linear,B,c1,budget_snapshot_001,1,6,6,0,6,1.0000,2116,253920.0,
B_c1_rafe_linear,B,c1,contact_card_001,0,60,60,0,60,1.0000,2025,243000.0,
B_c1_rafe_linear,B,c1,digest_preview_001,1,10,10,0,10,1.0000,2158,258960.0,
B_c1_rafe_linear,B,c1,incident_brief_001,1,10,10,0,10,1.0000,2006,240720.0,
B_c1_rafe_linear,B,c1,invoice_footer_001,1,18,18,0,18,1.0000,1813,217560.0,
B_c1_rafe_linear,B,c1,label_formatter_001,1,7,7,0,7,1.0000,2130,255600.0,
B_c1_rafe_linear,B,c1,median_window_001,1,6,6,0,6,1.0000,1836,220320.0,
B_c1_rafe_linear,B,c1,milestone_rollup_001,1,8,8,0,8,1.0000,1795,215400.0,
B_c1_rafe_linear,B,c1,nested_app_001,1,8,8,0,8,1.0000,2023,242760.0,
B_c1_rafe_linear,B,c1,owner_recap_001,1,12,12,0,12,1.0000,2046,245520.0,
B_c1_rafe_linear,B,c1,owner_sort_001,1,6,6,0,6,1.0000,1724,206880.0,
B_c1_rafe_linear,B,c1,priority_snapshot_001,1,10,10,0,10,1.0000,1884,226080.0,
B_c1_rafe_linear,B,c1,renewal_preview_001,1,16,16,0,16,1.0000,2076,249120.0,
B_c1_rafe_linear,B,c1,risk_score_001,1,7,7,0,7,1.0000,1712,205440.0,
B_c1_rafe_linear,B,c1,shipment_preview_001,0,60,60,0,60,1.0000,2011,241320.0,
B_c1_rafe_linear,B,c1,simple_mean_bug_001,1,7,7,0,7,1.0000,1623,194760.0,
B_c1_rafe_linear,B,c1,status_slug_001,1,7,7,0,7,1.0000,1738,208560.0,
B_c1_rafe_linear,B,c1,team_digest_001,1,10,10,0,10,1.0000,1766,211920.0,
B_c1_rafe_linear,B,c1,workspace_digest_001,1,10,10,0,10,1.0000,2242,269040.0,
B_c2_rafe_linear,B,c2,assignee_board_001,0,36,38,38,18,2.0000,111217,2086650.0,reviewer_rejected
B_c2_rafe_linear,B,c2,campaign_header_001,0,0,0,0,0,,0,0.0,
B_c2_rafe_linear,B,c2,comment_highlight_001,1,4,5,5,18,0.2222,9799,388920.0,auto_finalized
B_c2_rafe_linear,B,c2,dispatch_preview_001,0,36,38,38,18,2.0000,105545,2110470.0,reviewer_rejected
B_c2_rafe_linear,B,c2,fee_rounding_001,1,3,4,4,18,0.1667,6411,277920.0,auto_finalized
B_c2_rafe_linear,B,c2,headline_api_001,1,21,23,23,18,1.1667,60291,531780.0,auto_finalized
B_c2_rafe_linear,B,c2,incident_brief_c2_001,0,36,38,38,18,2.0000,119241,2067960.0,reviewer_rejected
B_c2_rafe_linear,B,c2,invoice_summary_001,1,3,4,4,18,0.1667,7427,316050.0,auto_finalized
B_c2_rafe_linear,B,c2,label_join_001,1,3,4,4,18,0.1667,6435,280980.0,auto_finalized
B_c2_rafe_linear,B,c2,partner_brief_001,1,4,5,5,18,0.2222,9141,402390.0,auto_finalized
B_c2_rafe_linear,B,c2,profile_preview_001,0,36,38,38,18,2.0000,102420,1909230.0,reviewer_rejected
B_c2_rafe_linear,B,c2,queue_digest_001,1,4,5,5,18,0.2222,11243,603240.0,auto_finalized
B_c2_rafe_linear,B,c2,ratio_guard_001,1,3,4,4,18,0.1667,7552,326280.0,auto_finalized
B_c2_rafe_linear,B,c2,renewal_banner_001,0,36,38,38,18,2.0000,101248,1760880.0,reviewer_rejected
